inat_id,date,latitude,longitude,positional_accuracy,scientific_name
3834209,2016-06-08,38.9041671753,-82.5697250366,NA,Rudbeckia hirta
3836703,2016-08-08,45.615002,-76.008334,NA,Rudbeckia hirta
3837408,2016-08-08,39.9147110386,-86.1951166113,30,Rudbeckia hirta
3837519,2016-08-08,39.9147518166,-86.1947121006,5,Rudbeckia hirta
3837622,2016-08-07,36.1556666667,-81.68602,NA,Rudbeckia hirta
3842509,2016-07-21,43.6254515453,-88.6724138603,772,Rudbeckia hirta
3842829,2016-08-09,38.1279927492,-79.0418912285,5,Rudbeckia hirta
3842989,2016-08-09,38.12946729,-79.04634155,12,Rudbeckia hirta
3845160,2016-08-09,44.26971,-96.777068,23,Rudbeckia hirta
3845370,2016-08-09,30.0455416667,-95.6799916667,NA,Rudbeckia hirta
3850994,2016-08-05,43.529518,-103.426407,NA,Rudbeckia hirta
3854435,2016-08-10,45.3825129709,-92.7096926887,5,Rudbeckia hirta
3854583,2016-08-10,38.9915582305,-77.3531604466,5,Rudbeckia hirta
3854853,2016-08-10,42.8508680921,-72.5589926271,38,Rudbeckia hirta
3859661,2016-06-29,48.661642,-96.364291,NA,Rudbeckia hirta
3861534,2016-08-08,32.9654614,-97.0196035,200,Rudbeckia hirta
3863618,2016-08-11,42.0396491,-82.7377065,19,Rudbeckia hirta
3866661,2016-08-12,42.39818111,-76.55712137,14,Rudbeckia hirta
3868841,2016-08-12,39.0365545189,-77.5840071837,NA,Rudbeckia hirta
3873636,2016-08-13,39.1340333333,-84.40918,NA,Rudbeckia hirta
3883870,2016-08-14,35.5234313968,-97.4701599115,165,Rudbeckia hirta
3884395,2016-08-14,29.8168727089,-95.6569933891,31,Rudbeckia hirta
3886174,2016-08-14,44.9270881796,-69.8759865761,31,Rudbeckia hirta
3886991,2016-08-14,43.0847976543,-89.4279712346,5,Rudbeckia hirta
3889459,2016-08-12,47.3861083333,-91.2433133333,NA,Rudbeckia hirta
3891292,2016-08-14,41.24715133,-73.66959617,4,Rudbeckia hirta
3899038,2016-08-15,39.511267785,-105.394366393,22,Rudbeckia hirta
3905760,2016-08-17,44.9535368057,-93.3027645574,10,Rudbeckia hirta
3907537,2016-08-14,32.9189539791,-96.7186392158,NA,Rudbeckia hirta pulcherrima
3911671,2016-08-18,43.6336633333,-72.5365,NA,Rudbeckia hirta
3916799,2016-08-19,38.8991881191,-77.5107299164,344,Rudbeckia hirta
3926128,2016-08-20,42.45092036,-76.47365408,10,Rudbeckia hirta
3934054,2016-08-21,42.858295667,-72.7210660575,76,Rudbeckia hirta
3936077,2016-08-21,32.7903357632,-94.1603920075,NA,Rudbeckia hirta
3939637,2016-08-22,31.65847415,-88.30729879,8,Rudbeckia hirta
3942685,2016-08-22,30.9779679124,-94.1329038051,5,Rudbeckia hirta
3942886,2016-08-20,42.7043,-83.4836366667,NA,Rudbeckia hirta
3946918,2016-08-23,37.5968513489,-77.4720840454,NA,Rudbeckia hirta
3949934,2016-08-23,32.54716221,-84.89899347,10,Rudbeckia hirta pulcherrima
3952040,2016-07-27,36.9732888889,-104.3939388889,100,Rudbeckia hirta
3961520,2016-08-07,35.7936059992,-105.8094620899,NA,Rudbeckia hirta
3963691,2016-08-25,49.8355716667,-95.3619283333,NA,Rudbeckia hirta
3972218,2016-08-26,40.500873,-74.423317,NA,Rudbeckia hirta
3972631,2016-08-27,43.8671134506,-69.8877152894,5,Rudbeckia hirta
3972650,2016-08-27,43.86733711,-69.88785117,9,Rudbeckia hirta
3972735,2016-08-27,43.8671541447,-69.8878338095,5,Rudbeckia hirta
3974357,2016-08-27,48.1685740568,-90.8807242947,6,Rudbeckia hirta
3994196,2016-08-30,41.9286649861,-85.761156818,5,Rudbeckia hirta
3999702,2016-06-11,40.4778531401,-88.1701855611,31,Rudbeckia hirta
4002771,2016-08-31,41.9896050683,-87.6885596105,5,Rudbeckia hirta
4012344,2016-05-12,34.9910743956,-92.429606616,2,Rudbeckia hirta
4015218,2016-07-05,41.658035,-81.183018,2106,Rudbeckia hirta
4018398,2016-09-02,41.0125224246,-81.3957799227,5,Rudbeckia hirta
4020027,2016-09-02,42.3879566667,-71.14871,NA,Rudbeckia hirta pulcherrima
4021036,2016-09-02,41.4083596136,-81.8915104866,31,Rudbeckia hirta
4021577,2016-09-02,44.92859436,-72.22125864,9,Rudbeckia hirta
4023342,2016-08-28,38.0202722222,-105.0018527778,NA,Rudbeckia hirta
4024149,2016-08-31,44.7673477,-71.7025262,9,Rudbeckia hirta
4024839,2016-09-03,39.956220612,-75.4861010705,5,Rudbeckia hirta
4035158,2016-09-04,41.20743,-87.177895,NA,Rudbeckia hirta
4036329,2016-09-04,29.9095383333,-95.6248083333,NA,Rudbeckia hirta
4052976,2016-06-24,44.390325,-72.4475816667,NA,Rudbeckia hirta
