Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
199496,Rudbeckia hirta,blackeyed Susan-1,,,Half shade,0,1,0,,2017--,,2019-05-26,,,,,,
199497,Rudbeckia hirta,blackeyed Susan-2,,,Half shade,0,1,0,,2017--,,2019-05-26,,,,,,
199498,Rudbeckia hirta,blackeyed Susan-3,,,Half shade,0,1,0,,2017--,,2019-05-26,,,,,,
200148,Rudbeckia hirta,blackeyed Susan-1,,,,,,,,,,2019-06-02,,,,,,
200505,Rudbeckia hirta,blackeyed Susan-1,,,,,,,,,,2019-06-05,,,,,,
201049,Maianthemum canadense,Canada mayflower-1,1,1 m2,,,,,,--,,2019-06-11,,,,,,
201061,Maianthemum canadense,Canada mayflower-1,1,1 m2,Mostly shade,1,,,,--,,2019-06-11,,,,,,
201114,Maianthemum canadense,Canada mayflower 1,,,,,,,,,,2019-06-11,,,,,,
201115,Maianthemum canadense,Canada mayflower 1,,,,,,,,,,2019-06-11,,,,,,
201118,Maianthemum canadense,Canada mayflower 2,,,,,,,,,,2019-06-11,,,,,,
202524,Maianthemum canadense,Canada mayflower-1,,,,,,,,,,2019-07-02,,,,,,
203082,Rudbeckia hirta,Black eyed susan,,,,,,,,,,2019-07-15,,,,,,
203544,Rudbeckia hirta,blackeyed Susan-1,,,,,,,,,,2019-07-29,,,,,,
