#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-07-31
# Final Processing Time: 11:09:05
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00316
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,falling,gcc_50,2010-10-18,2010-10-14,2010-10-05,2010-10-19,2010-10-15,2010-10-08,2010-10-16,2010-10-12,2010-10-03,0.37117,0.38313,0.40591,0.36598,0.44315
harvard,DB,1000,falling,gcc_50,2009-10-22,2009-10-19,2009-10-11,2009-10-23,2009-10-20,2009-10-14,2009-10-20,2009-10-18,2009-10-10,0.36922,0.38264,0.40612,0.36292,0.44617
harvard,DB,1000,falling,gcc_50,2008-10-23,2008-10-20,2008-10-14,2008-10-24,2008-10-21,2008-10-16,2008-10-22,2008-10-19,2008-10-13,0.36435,0.37764,0.39841,0.3571,0.43931
harvard,DB,1000,falling,gcc_mean,2018-11-03,2018-10-30,2018-10-20,2018-11-05,2018-11-01,2018-10-23,2018-11-01,2018-10-28,2018-10-18,0.38512,0.39715,0.41758,0.37868,0.4545
harvard,DB,1000,falling,gcc_mean,2017-11-04,2017-11-01,2017-10-23,2017-11-05,2017-11-02,2017-10-25,2017-11-02,2017-10-30,2017-10-22,0.37883,0.38927,0.41473,0.37203,0.45404
harvard,DB,1000,falling,gcc_mean,2016-10-27,2016-10-24,2016-10-15,2016-10-28,2016-10-25,2016-10-17,2016-10-26,2016-10-22,2016-10-14,0.38089,0.39113,0.41586,0.37296,0.45556
harvard,DB,1000,falling,gcc_mean,2015-10-26,2015-10-23,2015-10-18,2015-10-27,2015-10-24,2015-10-19,2015-10-24,2015-10-21,2015-10-17,0.37488,0.38727,0.41091,0.37028,0.45024
harvard,DB,1000,falling,gcc_mean,2014-10-20,2014-10-17,2014-10-10,2014-10-21,2014-10-18,2014-10-12,2014-10-19,2014-10-15,2014-10-09,0.37976,0.39147,0.41538,0.37192,0.45515
harvard,DB,1000,falling,gcc_mean,2013-10-19,2013-10-15,2013-10-06,2013-10-20,2013-10-16,2013-10-09,2013-10-17,2013-10-13,2013-10-04,0.37563,0.38884,0.41193,0.36973,0.45144
harvard,DB,1000,falling,gcc_mean,2012-10-17,2012-10-13,2012-10-04,2012-10-18,2012-10-14,2012-10-07,2012-10-15,2012-10-11,2012-10-02,0.37782,0.38968,0.41091,0.37249,0.44801
harvard,DB,1000,falling,gcc_mean,2011-10-28,2011-10-22,2011-10-11,2011-10-29,2011-10-24,2011-10-14,2011-10-25,2011-10-20,2011-10-07,0.37962,0.39226,0.41044,0.37458,0.44625
harvard,DB,1000,falling,gcc_mean,2010-10-17,2010-10-13,2010-10-05,2010-10-18,2010-10-14,2010-10-07,2010-10-15,2010-10-11,2010-10-04,0.37374,0.38528,0.4064,0.3667,0.44312
harvard,DB,1000,falling,gcc_mean,2009-10-22,2009-10-19,2009-10-11,2009-10-23,2009-10-20,2009-10-14,2009-10-20,2009-10-18,2009-10-09,0.36826,0.38179,0.4047,0.36199,0.44474
harvard,DB,1000,falling,gcc_mean,2008-10-23,2008-10-21,2008-10-14,2008-10-24,2008-10-22,2008-10-16,2008-10-22,2008-10-19,2008-10-13,0.36356,0.37272,0.39838,0.35622,0.43646
